id,username,ip,transactionTime,startTime,endTime,authorizationID,platform,usernames,polygon
48,Jimmy Page,192.168.1.12,20/02/2019 10:35,2019-02-24 21:48:11 UTC,2019-02-26 21:48:11 UTC,DEV-48-2019,DailyExpress,"61441519, 67406559, 45174371, 44138510","POLYGON ((-26.5642351, 18.1310083), (-25.5642351,18.1310083),(-26.5642351, 18.6310083), (-25.5642351,18.6310083),(-26.5642351,18.1310083))"
49,Jimmy Page,192.168.1.12,06/08/2019 15:47,2019-12-09 08:51:49 UTC,2019-12-15 08:51:49 UTC,DEV-49-2019,FinancialTimes,"73507475, 07544434, 66624640, 77399350, 07165336, 45170626, 31491867, 00713784, 58832539, 89579638","POLYGON ((32.6546275, 51.6679826), (33.6546275,51.6679826),(32.6546275, 52.1679826), (33.6546275,52.1679826),(32.6546275,51.6679826))"
50,Jimmy Page,192.168.1.12,21/01/2020 12:11,2019-05-04 17:19:39 UTC,2019-05-08 17:19:39 UTC,DEV-50-2020,WashingtonPost,"88014529, 60102878, 92435457","POLYGON ((42.1333129, 24.5376727), (43.1333129,24.5376727),(42.1333129, 25.0376727), (43.1333129,25.0376727),(42.1333129,24.5376727))"
52,Jimmy Page,192.168.1.12,23/05/2019 08:05,2019-08-31 03:32:09 UTC,2019-09-02 03:32:09 UTC,DEV-52-2019,DailyExpress,"46205219, 67038890, 28913342, 82956352, 05375163, 79754845, 18140400, 84031743, 52756380, 12305993","POLYGON ((59.6048642, 16.5096453), (60.6048642,16.5096453),(59.6048642, 17.0096453), (60.6048642,17.0096453),(59.6048642,16.5096453))"
53,John Paul Jones,192.168.1.12,10/10/2019 14:09,2019-08-31 19:44:27 UTC,2019-09-02 19:44:27 UTC,DEV-53-2019,NewYorkTimes,"48776310, 88874865, 40220864","POLYGON ((23.7247599, 108.8076195), (24.7247599,108.8076195),(23.7247599, 109.3076195), (24.7247599,109.3076195),(23.7247599,108.8076195))"
62,John Bonham,192.168.1.12,09/12/2019 12:29,2019-03-08 18:54:09 UTC,2019-03-12 18:54:09 UTC,DEV-62-2019,NewYorkTimes,"11327904, 96538620, 16179755, 07469693, 20274023, 97117705, 17915127, 79443560","POLYGON ((52.0592063, 20.4515916), (53.0592063,20.4515916),(52.0592063, 20.9515916), (53.0592063,20.9515916),(52.0592063,20.4515916))"
73,John Paul Jones,192.168.1.12,12/12/2019 14:03,2019-11-01 09:08:27 UTC,2019-11-03 09:08:27 UTC,DEV-73-2019,DailyExpress,"27982270, 67494780, 50941325, 07343017, 01224031","POLYGON ((14.582604, 121.087809), (15.582604,121.087809),(14.582604, 121.587809), (15.582604,121.587809),(14.582604,121.087809))"
76,Jimmy Page,192.168.1.12,28/08/2019 14:12,2019-10-10 21:09:17 UTC,2019-10-15 21:09:17 UTC,DEV-76-2019,WashingtonPost,"75902661, 63422322, 65309810, 89819165, 71281936","POLYGON ((-14.23592, -72.629868), (-13.23592,-72.629868),(-14.23592, -72.129868), (-13.23592,-72.129868),(-14.23592,-72.629868))"
81,Jimmy Page,192.168.1.12,26/09/2019 08:19,2019-11-30 07:03:03 UTC,2019-12-06 07:03:03 UTC,DEV-81-2019,TheGuardian,"17535971, 02282237, 95029736","POLYGON ((40.4938437, -8.4743511), (41.4938437,-8.4743511),(40.4938437, -7.9743511), (41.4938437,-7.9743511),(40.4938437,-8.4743511))"
82,Jimmy Page,192.168.1.12,08/01/2020 13:06,2019-09-14 04:42:21 UTC,2019-09-20 04:42:21 UTC,DEV-82-2020,TheGuardian,"18695776, 87952393, 23100229, 50313309, 24383669, 46468802","POLYGON ((59.7414102, 10.2299413), (60.7414102,10.2299413),(59.7414102, 10.7299413), (60.7414102,10.7299413),(59.7414102,10.2299413))"
85,John Paul Jones,192.168.1.12,21/11/2019 11:03,2019-12-23 10:18:51 UTC,2019-12-28 10:18:51 UTC,DEV-85-2019,TheGuardian,"35160290, 86520781, 90579882, 42485952, 58438020","POLYGON ((-33.3117281, 26.5145058), (-32.3117281,26.5145058),(-33.3117281, 27.0145058), (-32.3117281,27.0145058),(-33.3117281,26.5145058))"
86,John Paul Jones,192.168.1.12,30/07/2019 13:55,2019-09-29 02:41:56 UTC,2019-10-02 02:41:56 UTC,DEV-86-2019,TheSun,"91572535, 21016067, 29412436, 38594226","POLYGON ((-6.4937893, -43.7039903), (-5.4937893,-43.7039903),(-6.4937893, -43.2039903), (-5.4937893,-43.2039903),(-6.4937893,-43.7039903))"
89,Jimmy Page,192.168.1.12,17/12/2019 11:08,2019-06-09 16:39:25 UTC,2019-06-14 16:39:25 UTC,DEV-89-2019,WashingtonPost,"49607074, 74798175, 77714841, 41856100, 59772512, 19635953, 48352062, 02147812, 36219906, 17208490, 31952303","POLYGON ((38.0412749, 23.5418125), (39.0412749,23.5418125),(38.0412749, 24.0418125), (39.0412749,24.0418125),(38.0412749,23.5418125))"
90,John Paul Jones,192.168.1.12,30/07/2019 11:24,2019-04-01 18:25:37 UTC,2019-04-05 18:25:37 UTC,DEV-90-2019,TheSun,"61097909, 63814788, 07319138, 59560682, 95303095","POLYGON ((10.9015165, -64.0857232), (11.9015165,-64.0857232),(10.9015165, -63.5857232), (11.9015165,-63.5857232),(10.9015165,-64.0857232))"
97,Jimmy Page,192.168.1.12,29/04/2019 14:49,2019-09-09 00:49:53 UTC,2019-09-12 00:49:53 UTC,DEV-97-2019,FinancialTimes,25496989,"POLYGON ((45.1903117, 5.7286053), (46.1903117,5.7286053),(45.1903117, 6.2286053), (46.1903117,6.2286053),(45.1903117,5.7286053))"
99,John Paul Jones,192.168.1.12,08/07/2019 10:10,2019-11-24 16:09:51 UTC,2019-11-27 16:09:51 UTC,DEV-99-2019,TheGuardian,"63820024, 05087099, 60459706, 84372244, 95496980, 26494531, 97753520, 93313227","POLYGON ((30.4659284, 30.9305801), (31.4659284,30.9305801),(30.4659284, 31.4305801), (31.4659284,31.4305801),(30.4659284,30.9305801))"
101,Jimmy Page,192.168.1.12,22/03/2019 12:44,2019-08-11 13:21:20 UTC,2019-08-17 13:21:20 UTC,DEV-101-2019,TheTimes,"70493339, 65773152, 11349181, 66832775","POLYGON ((31.823845, 121.507229), (32.823845,121.507229),(31.823845, 122.007229), (32.823845,122.007229),(31.823845,121.507229))"
103,Jimmy Page,192.168.1.12,08/11/2019 11:48,2019-10-05 23:56:22 UTC,2019-10-11 23:56:22 UTC,DEV-103-2019,WashingtonPost,"28551624, 18200695","POLYGON ((30.687368, 104.063249), (31.687368,104.063249),(30.687368, 104.563249), (31.687368,104.563249),(30.687368,104.063249))"
105,Jimmy Page,192.168.1.12,25/11/2019 08:44,2019-04-12 06:47:26 UTC,2019-04-14 06:47:26 UTC,DEV-105-2019,TheGuardian,"43399533, 68708803, 95679050, 54063100, 25238611, 74906382, 75249811, 16419202","POLYGON ((41.1661316, -8.6784476), (42.1661316,-8.6784476),(41.1661316, -8.1784476), (42.1661316,-8.1784476),(41.1661316,-8.6784476))"
108,John Bonham,192.168.1.55,02/04/2019 13:02,2019-11-03 02:00:04 UTC,2019-11-07 02:00:04 UTC,DEV-108-2019,TheTimes,"11738108, 17472530, 17494967, 76141510, 85093644, 93612095, 59013379, 86945821, 24252713, 33159129, 82692524","POLYGON ((55.2763668, 61.9012109), (56.2763668,61.9012109),(55.2763668, 62.4012109), (56.2763668,62.4012109),(55.2763668,61.9012109))"
113,John Paul Jones,192.168.1.12,21/06/2019 14:22,2020-02-01 18:52:15 UTC,2020-02-06 18:52:15 UTC,DEV-113-2019,TheSun,"07268327, 65612539","POLYGON ((14.7572292, 120.9644288), (15.7572292,120.9644288),(14.7572292, 121.4644288), (15.7572292,121.4644288),(14.7572292,120.9644288))"
114,John Paul Jones,192.168.1.12,25/12/2019 15:23,2019-06-14 09:25:41 UTC,2019-06-18 09:25:41 UTC,DEV-114-2019,NewYorkTimes,94578510,"POLYGON ((23.422152, 106.681138), (24.422152,106.681138),(23.422152, 107.181138), (24.422152,107.181138),(23.422152,106.681138))"
115,Robert Plant,192.168.1.12,11/02/2019 09:51,2019-12-21 19:16:13 UTC,2019-12-23 19:16:13 UTC,DEV-115-2019,WashingtonPost,"46603463, 59289557, 96932238","POLYGON ((50.7592361, 17.6835478), (51.7592361,17.6835478),(50.7592361, 18.1835478), (51.7592361,18.1835478),(50.7592361,17.6835478))"
116,Jimmy Page,192.168.1.55,11/11/2019 15:27,2019-11-23 07:19:58 UTC,2019-11-28 07:19:58 UTC,DEV-116-2019,MailOnline,"45109378, 61972336, 17764812, 95411383, 28523947, 25712943, 75799029","POLYGON ((45.218223, 18.7359718), (46.218223,18.7359718),(45.218223, 19.2359718), (46.218223,19.2359718),(45.218223,18.7359718))"
117,Jimmy Page,192.168.1.12,01/04/2019 14:00,2019-05-21 20:22:31 UTC,2019-05-27 20:22:31 UTC,DEV-117-2019,TheGuardian,"71054682, 69060197, 30584698, 92872303, 68309131, 85383800","POLYGON ((48.081286, 20.7644305), (49.081286,20.7644305),(48.081286, 21.2644305), (49.081286,21.2644305),(48.081286,20.7644305))"
123,Jimmy Page,192.168.1.12,28/01/2020 12:07,2019-09-13 12:33:42 UTC,2019-09-19 12:33:42 UTC,DEV-123-2020,NewYorkTimes,"95396550, 02968032, 73779490, 24873140, 20762739, 36104649, 16918916, 48416154, 26242781","POLYGON ((49.6355347, -1.6272462), (50.6355347,-1.6272462),(49.6355347, -1.1272462), (50.6355347,-1.1272462),(49.6355347,-1.6272462))"
128,Jimmy Page,192.168.1.12,21/06/2019 12:44,2020-01-12 14:01:24 UTC,2020-01-14 14:01:24 UTC,DEV-128-2019,TheSun,"20200599, 16635639, 51213403, 90052334, 02586396","POLYGON ((40.5885408, 23.0279289), (41.5885408,23.0279289),(40.5885408, 23.5279289), (41.5885408,23.5279289),(40.5885408,23.0279289))"
129,Robert Plant,192.168.1.12,23/04/2019 15:04,2019-04-27 22:21:32 UTC,2019-05-02 22:21:32 UTC,DEV-129-2019,TheTimes,"14012785, 40514492, 19495203","POLYGON ((42.2152585, 20.7414739), (43.2152585,20.7414739),(42.2152585, 21.2414739), (43.2152585,21.2414739),(42.2152585,20.7414739))"
130,Jimmy Page,192.168.1.12,27/06/2019 15:19,2019-04-20 13:30:05 UTC,2019-04-23 13:30:05 UTC,DEV-130-2019,MailOnline,"31455586, 05149077, 29985057, 55445984, 64418657, 26461052","POLYGON ((61.2318649, 26.1741559), (62.2318649,26.1741559),(61.2318649, 26.6741559), (62.2318649,26.6741559),(61.2318649,26.1741559))"
134,John Paul Jones,192.168.1.12,07/11/2019 13:33,2019-10-27 05:56:10 UTC,2019-10-29 05:56:10 UTC,DEV-134-2019,MailOnline,"16019264, 53407509, 99722379, 98850620, 67185673, 67608405, 63358174, 73037132, 11850518, 91417570, 33958904","POLYGON ((26.855047, 100.22775), (27.855047,100.22775),(26.855047, 100.72775), (27.855047,100.72775),(26.855047,100.22775))"
138,John Paul Jones,192.168.1.12,28/08/2019 13:25,2020-01-17 20:09:23 UTC,2020-01-20 20:09:23 UTC,DEV-138-2019,TheSun,"77329068, 38846999, 79652213, 19310505, 82051761, 04902316","POLYGON ((25.904305, 112.203287), (26.904305,112.203287),(25.904305, 112.703287), (26.904305,112.703287),(25.904305,112.203287))"
139,Jimmy Page,192.168.1.55,21/10/2019 12:16,2019-07-27 08:04:53 UTC,2019-08-02 08:04:53 UTC,DEV-139-2019,TheSun,"05636580, 38704834, 47496782, 34267900, 36552737, 04571504, 65858235, 71016199, 29789360, 31273091, 27892171","POLYGON ((49.8501369, 21.894173), (50.8501369,21.894173),(49.8501369, 22.394173), (50.8501369,22.394173),(49.8501369,21.894173))"
142,John Paul Jones,192.168.1.12,21/01/2020 14:39,2019-02-17 01:29:47 UTC,2019-02-23 01:29:47 UTC,DEV-142-2020,TheGuardian,"66189814, 27502880, 77983008, 83844269, 13621042, 62975450, 53193156","POLYGON ((25.6181943, 56.2733747), (26.6181943,56.2733747),(25.6181943, 56.7733747), (26.6181943,56.7733747),(25.6181943,56.2733747))"
164,Jimmy Page,192.168.1.12,29/11/2019 15:15,2019-06-22 05:06:48 UTC,2019-06-24 05:06:48 UTC,DEV-164-2019,MailOnline,"78126007, 02342683, 60170191, 15313973, 10060793, 45573094","POLYGON ((-23.4833329, 27.116667), (-22.4833329,27.116667),(-23.4833329, 27.616667), (-22.4833329,27.616667),(-23.4833329,27.116667))"
172,Jimmy Page,192.168.1.12,03/10/2019 12:09,2019-02-09 16:06:13 UTC,2019-02-12 16:06:13 UTC,DEV-172-2019,MailOnline,"94708314, 38995643, 59465185","POLYGON ((-31.3540428, -64.1582003), (-30.3540428,-64.1582003),(-31.3540428, -63.6582003), (-30.3540428,-63.6582003),(-31.3540428,-64.1582003))"
174,Jimmy Page,192.168.1.12,28/06/2019 10:52,2019-07-23 10:07:14 UTC,2019-07-26 10:07:14 UTC,DEV-174-2019,FinancialTimes,"17667060, 71931831, 38717562, 75094798","POLYGON ((37.7574326, -25.2384711), (38.7574326,-25.2384711),(37.7574326, -24.7384711), (38.7574326,-24.7384711),(37.7574326,-25.2384711))"
185,Jimmy Page,192.168.1.12,28/11/2019 14:00,2019-04-30 06:51:03 UTC,2019-05-05 06:51:03 UTC,DEV-185-2019,DailyExpress,"21001317, 01981389, 32906794, 41510644","POLYGON ((49.863612, -119.5644584), (50.863612,-119.5644584),(49.863612, -119.0644584), (50.863612,-119.0644584),(49.863612,-119.5644584))"
186,Jimmy Page,192.168.1.12,27/02/2019 13:51,2019-11-24 18:19:42 UTC,2019-11-28 18:19:42 UTC,DEV-186-2019,WashingtonPost,"79772782, 53880831, 36815397","POLYGON ((51.1259587, 15.1849486), (52.1259587,15.1849486),(51.1259587, 15.6849486), (52.1259587,15.6849486),(51.1259587,15.1849486))"
187,Jimmy Page,192.168.1.12,25/04/2019 13:55,2019-07-27 09:38:46 UTC,2019-08-02 09:38:46 UTC,DEV-187-2019,FinancialTimes,"57056908, 87964000","POLYGON ((47.5202786, 17.5142121), (48.5202786,17.5142121),(47.5202786, 18.0142121), (48.5202786,18.0142121),(47.5202786,17.5142121))"
195,Jimmy Page,192.168.1.55,06/12/2019 09:53,2019-02-22 05:08:51 UTC,2019-02-26 05:08:51 UTC,DEV-195-2019,FinancialTimes,"95536491, 05994265, 83474971, 50365420, 13316051, 95859963","POLYGON ((43.4945737, 5.8978018), (44.4945737,5.8978018),(43.4945737, 6.3978018), (44.4945737,6.3978018),(43.4945737,5.8978018))"
199,Jimmy Page,192.168.1.12,21/01/2020 09:45,2019-10-05 05:58:25 UTC,2019-10-10 05:58:25 UTC,DEV-199-2020,TheSun,"16648977, 12117551, 22509661, 59779910, 37807091","POLYGON ((34.89305, 106.864397), (35.89305,106.864397),(34.89305, 107.364397), (35.89305,107.364397),(34.89305,106.864397))"
202,John Paul Jones,192.168.1.12,14/11/2019 09:02,2019-07-09 11:09:11 UTC,2019-07-12 11:09:11 UTC,DEV-202-2019,WashingtonPost,"69437947, 87479296, 87372705, 64820292, 62065617","POLYGON ((-6.4594857, 105.9141793), (-5.4594857,105.9141793),(-6.4594857, 106.4141793), (-5.4594857,106.4141793),(-6.4594857,105.9141793))"
206,Jimmy Page,192.168.1.12,25/02/2019 14:14,2019-11-28 11:30:21 UTC,2019-12-03 11:30:21 UTC,DEV-206-2019,DailyExpress,"30801124, 21081483, 00441422, 41143058, 95592415, 72350935, 09092342, 92842570","POLYGON ((33.5668566, -83.477106), (34.5668566,-83.477106),(33.5668566, -82.977106), (34.5668566,-82.977106),(33.5668566,-83.477106))"
208,John Paul Jones,192.168.1.12,25/11/2019 11:08,2019-02-27 06:25:20 UTC,2019-03-02 06:25:20 UTC,DEV-208-2019,TheSun,"51388673, 28754820, 04314319, 81749611","POLYGON ((30.4338104, 31.0564425), (31.4338104,31.0564425),(30.4338104, 31.5564425), (31.4338104,31.5564425),(30.4338104,31.0564425))"
215,Jimmy Page,192.168.1.12,15/08/2019 13:02,2019-09-07 16:16:42 UTC,2019-09-13 16:16:42 UTC,DEV-215-2019,FinancialTimes,"85957412, 69178584, 84755844, 38800731, 41893657, 51538151, 63117899, 51956947, 48453651","POLYGON ((8.0991923, -10.6956979), (9.0991923,-10.6956979),(8.0991923, -10.1956979), (9.0991923,-10.1956979),(8.0991923,-10.6956979))"
232,Jimmy Page,192.168.1.12,16/01/2020 13:18,2019-12-28 11:06:58 UTC,2020-01-02 11:06:58 UTC,DEV-232-2020,NewYorkTimes,35206265,"POLYGON ((41.6427177, -8.4353332), (42.6427177,-8.4353332),(41.6427177, -7.9353332), (42.6427177,-7.9353332),(41.6427177,-8.4353332))"
239,John Paul Jones,192.168.1.55,03/10/2019 13:31,2019-08-03 20:53:37 UTC,2019-08-08 20:53:37 UTC,DEV-239-2019,WashingtonPost,57365103,"POLYGON ((-7.9396646, 111.4109784), (-6.9396646,111.4109784),(-7.9396646, 111.9109784), (-6.9396646,111.9109784),(-7.9396646,111.4109784))"
241,John Paul Jones,192.168.1.12,15/07/2019 12:35,2019-11-04 19:09:44 UTC,2019-11-08 19:09:44 UTC,DEV-241-2019,TheTimes,"76422435, 65119083, 46255545, 72626630","POLYGON ((11.1856085, 124.9202302), (12.1856085,124.9202302),(11.1856085, 125.4202302), (12.1856085,125.4202302),(11.1856085,124.9202302))"
247,Robert Plant,192.168.1.12,18/02/2019 15:43,2019-12-05 17:42:08 UTC,2019-12-08 17:42:08 UTC,DEV-247-2019,NewYorkTimes,"26963145, 11681119, 39478934, 79713665, 19473352","POLYGON ((-3.2545446, 104.7593863), (-2.2545446,104.7593863),(-3.2545446, 105.2593863), (-2.2545446,105.2593863),(-3.2545446,104.7593863))"
250,Robert Plant,192.168.1.12,26/07/2019 15:21,2019-03-01 09:22:10 UTC,2019-03-03 09:22:10 UTC,DEV-250-2019,TheSun,"51857268, 49238274, 29102653, 89953239, 44974286, 64093656, 34955621","POLYGON ((38.3628307, -0.5210565), (39.3628307,-0.5210565),(38.3628307, -0.0210565), (39.3628307,-0.0210565),(38.3628307,-0.5210565))"
254,Jimmy Page,192.168.1.12,28/06/2019 09:37,2019-02-09 20:26:14 UTC,2019-02-13 20:26:14 UTC,DEV-254-2019,NewYorkTimes,"81524436, 67550870, 13038925, 58777508, 01402188, 79134289, 75536050, 06021358, 54213923, 86670827","POLYGON ((35.375873, 139.1671308), (36.375873,139.1671308),(35.375873, 139.6671308), (36.375873,139.6671308),(35.375873,139.1671308))"
255,John Paul Jones,192.168.1.12,10/06/2019 11:51,2019-03-19 16:25:31 UTC,2019-03-24 16:25:31 UTC,DEV-255-2019,FinancialTimes,"27240813, 51694783, 53415075, 85315103, 16640923, 76936580, 60118781, 66168061","POLYGON ((15.0541658, -91.229784), (16.0541658,-91.229784),(15.0541658, -90.729784), (16.0541658,-90.729784),(15.0541658,-91.229784))"
262,John Paul Jones,192.168.1.12,18/12/2019 14:58,2019-04-14 22:02:12 UTC,2019-04-19 22:02:12 UTC,DEV-262-2019,TheGuardian,"00481581, 58504979","POLYGON ((-6.1827598, 106.8270521), (-5.1827598,106.8270521),(-6.1827598, 107.3270521), (-5.1827598,107.3270521),(-6.1827598,106.8270521))"
265,John Paul Jones,192.168.1.47,17/04/2019 08:41,2019-07-20 12:52:40 UTC,2019-07-24 12:52:40 UTC,DEV-265-2019,TheTimes,"40008267, 24627623, 23876959","POLYGON ((20.044412, 110.198286), (21.044412,110.198286),(20.044412, 110.698286), (21.044412,110.698286),(20.044412,110.198286))"
269,Jimmy Page,192.168.1.12,01/08/2019 10:14,2019-04-01 20:08:19 UTC,2019-04-03 20:08:19 UTC,DEV-269-2019,TheGuardian,"06926512, 04870003, 21686175, 16223615, 82417694, 18141348, 81718621, 67649116, 07688132","POLYGON ((59.1102039, 9.6759643), (60.1102039,9.6759643),(59.1102039, 10.1759643), (60.1102039,10.1759643),(59.1102039,9.6759643))"
277,Jimmy Page,192.168.1.12,17/05/2019 15:39,2019-12-04 16:38:02 UTC,2019-12-09 16:38:02 UTC,DEV-277-2019,TheGuardian,"15505738, 22689600, 53230362, 97245230, 98848430, 40328461, 54372852","POLYGON ((41.095685, 121.1268459), (42.095685,121.1268459),(41.095685, 121.6268459), (42.095685,121.6268459),(41.095685,121.1268459))"
278,Jimmy Page,192.168.1.12,23/10/2019 11:27,2019-08-11 16:42:46 UTC,2019-08-17 16:42:46 UTC,DEV-278-2019,TheGuardian,14890988,"POLYGON ((41.664757, 123.344062), (42.664757,123.344062),(41.664757, 123.844062), (42.664757,123.844062),(41.664757,123.344062))"
281,Jimmy Page,192.168.1.12,13/06/2019 13:57,2019-11-08 03:00:29 UTC,2019-11-10 03:00:29 UTC,DEV-281-2019,NewYorkTimes,30461243,"POLYGON ((40.1507542, 69.4903717), (41.1507542,69.4903717),(40.1507542, 69.9903717), (41.1507542,69.9903717),(40.1507542,69.4903717))"
283,Jimmy Page,192.168.1.12,20/06/2019 12:21,2019-03-15 16:47:05 UTC,2019-03-18 16:47:05 UTC,DEV-283-2019,TheGuardian,"23771103, 95295851, 38637145, 87543086, 16093540, 79003507, 49748555, 29715550","POLYGON ((-29.251895, 18.841117), (-28.251895,18.841117),(-29.251895, 19.341117), (-28.251895,19.341117),(-29.251895,18.841117))"
288,Jimmy Page,192.168.1.12,16/09/2019 08:42,2019-08-30 05:59:06 UTC,2019-09-03 05:59:06 UTC,DEV-288-2019,NewYorkTimes,"54482931, 48210580, 96257071, 47969969","POLYGON ((6.5411018, 101.2804075), (7.5411018,101.2804075),(6.5411018, 101.7804075), (7.5411018,101.7804075),(6.5411018,101.2804075))"
291,John Paul Jones,192.168.1.12,19/09/2019 08:09,2019-11-21 20:22:17 UTC,2019-11-27 20:22:17 UTC,DEV-291-2019,TheTimes,"00536043, 72210482, 51770230, 72947257, 13282369, 60388138","POLYGON ((29.574103, 106.537605), (30.574103,106.537605),(29.574103, 107.037605), (30.574103,107.037605),(29.574103,106.537605))"
294,Jimmy Page,192.168.1.66,30/04/2019 10:07,2019-12-23 23:26:50 UTC,2019-12-26 23:26:50 UTC,DEV-294-2019,FinancialTimes,"81500252, 97206572, 90097116, 60708323, 12888446, 93992268, 29188230, 35832696, 05877521, 80085586, 51654976","POLYGON ((48.6443358, 7.7212169), (49.6443358,7.7212169),(48.6443358, 8.2212169), (49.6443358,8.2212169),(48.6443358,7.7212169))"
297,Jimmy Page,192.168.1.12,30/08/2019 08:53,2019-12-21 11:15:34 UTC,2019-12-25 11:15:34 UTC,DEV-297-2019,TheSun,"50003035, 83905836, 15925052","POLYGON ((-10.4571094, -77.3270581), (-9.4571094,-77.3270581),(-10.4571094, -76.8270581), (-9.4571094,-76.8270581),(-10.4571094,-77.3270581))"
301,Jimmy Page,192.168.1.12,18/07/2019 09:46,2019-05-01 22:48:18 UTC,2019-05-07 22:48:18 UTC,DEV-301-2019,DailyExpress,"44055321, 43941860, 32067109, 63165528, 15718601, 84314379","POLYGON ((38.3559764, 140.3748668), (39.3559764,140.3748668),(38.3559764, 140.8748668), (39.3559764,140.8748668),(38.3559764,140.3748668))"
303,Jimmy Page,192.168.1.12,06/03/2019 14:51,2020-01-07 06:07:40 UTC,2020-01-12 06:07:40 UTC,DEV-303-2019,TheTimes,"09766609, 87113071, 36639055, 88874742, 41504672, 03417291, 78838367, 53051880, 32627355, 22878242, 99653169","POLYGON ((50.4465359, 19.894509), (51.4465359,19.894509),(50.4465359, 20.394509), (51.4465359,20.394509),(50.4465359,19.894509))"
304,John Paul Jones,192.168.1.12,26/09/2019 09:19,2019-12-13 07:47:14 UTC,2019-12-17 07:47:14 UTC,DEV-304-2019,TheSun,"51903501, 63257474, 07844604, 26002185, 87588166","POLYGON ((-34.6204268, -58.4794508), (-33.6204268,-58.4794508),(-34.6204268, -57.9794508), (-33.6204268,-57.9794508),(-34.6204268,-58.4794508))"
308,Jimmy Page,192.168.1.12,19/11/2019 11:54,2019-12-10 20:39:30 UTC,2019-12-12 20:39:30 UTC,DEV-308-2019,TheTimes,"59336018, 38704983","POLYGON ((6.477755, -74.4088), (7.477755,-74.4088),(6.477755, -73.9088), (7.477755,-73.9088),(6.477755,-74.4088))"
